id,active,status,summary,title,theme,themename,ContactCountry,funding,goal,donations,reports,remaining
14896,false,funded,"Between August 18th and 22nd, more than 60% of Manila flooded. In our community - Banaba - rivers burst their banks and more than 2,000 families were forced from their homes. 3 year old Alyona spent five days sleeping on the floor of an evacuation when her house was inundated. These floods were not a one-off - there will be more floods this year, and with them more evacuations. With your help, we'll be there to provide hot meals during those floods.","5,000 hot meals for evacuees like Alyona",Disaster Response,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Disaster Response;Food Security,United Kingdom,387.50,350.00,11,1,0.00
14999,false,funded,"Coleen is 3. She lives with her four siblings and her parents in a house made from a few sheets of tin and plywood perched on a riverbank. Every year there are floods, and Coleen 's house has been destroyed twice since 2010. Coleen and her neighbors live in constant fear of the floods, and they often have to evacuate. Evacuation is frightening and stressful, but you can make it easier by giving us the funds we need to stockpile food and drinking water for Coleen and evacuees like her.",Feed Coleen During Floods,Disaster Response,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Disaster Response;Food Security,United Kingdom,250.00,250.00,3,1,0.00
15000,false,retired,"We raise funds to be able to send to vocational school the poor but deserving Filipino youth.  We monitor the progress of the Scholar through home and school visits by our Social Worker.  We provide English Proficiency Training to improve their English speaking and conversational ability.  We also meet the scholars monthly to attend the Psycho Social Activity.  April, the month we give the scholars a ""Recognition"" for their special achievements in school.  We provide them school supplies.",Send 50 Poor Filipino Youth To Vocational School,Education,Disaster Response;Economic Growth;Education;Physical Health;Education,Philippines,780.00,50000.00,2,0,49220.00
15003,false,retired,"In Banaba young people like Rechiel face huge challenges. Many live in plywood shacks along riverbanks that are damaged by floods every year. Their community is heavily polluted, and difficult living conditions mean that young people can find it hard to resist the draw of gangs and drugs. Rechiel and other youth leaders like her are fighting for a brighter future for their peers through arts programmes, environmental advocacy, and emergency flood response - but they need your support!",Empower a Youth Leader like Rechiel,Disaster Response,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Disaster Response;Climate Action;Education;Ecosystem Restoration,United Arab Emirates,85.00,300.00,4,1,215.00
15008,false,funded,"International Medical Corps supports hundreds of health centers in under-served communities. We work hand-in-hand with partners who donate medicine and supplies to at-risk populations, especially women and children, who would otherwise not have access to lifesaving drugs. These donations provide medicine to fight infection, diarrhea, malaria, and more. But we need your help - while medicines and supplies are donated, the cost of shipping to the most remote locations in the world is often not.","By Sea or Donkey, Delivering Medicine to the Field",Disaster Response,Child Protection;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Food Security;Disaster Response;Physical Health;Refugee Rights,United States,0.00,50000.00,0,2,50000.00
15104,false,funded,"Super Typhoon Haiyan has caused significant damage in the Philippines, and death tolls are estimated to exceed 10,000. According to officials, the storm caused heavy damage to an already weakened infrastructure. All donations to this fund will exclusively support relief and recovery efforts for Typhoon Haiyan.",Super Typhoon Haiyan Relief Fund,Disaster Response,Animal Welfare;Child Protection;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Justice and Human Rights;Digital Literacy;Food Security;Disaster Response,United States,1635948.20,1750000.00,11822,12,114051.80
15119,false,funded,"The Child Protection Clinic (CPC) on Wheels is a preventive grassroots advocacy approach against child abuse & commercial exploitation and human trafficking, bringing high risk communities and schools with various services such as psychosocial-spiritual intervention for child victims of abuse; child rights education; life skills sessions; training of frontline advocates; educational assistance and medical clinics . It aims to safeguard children by organizing functional preventive alert system.","Protect 6,000 At-Risk Children thru CPC on Wheels",Justice and Human Rights,Justice and Human Rights;Child Protection;Education;Gender Equality;Child Protection;Education;Gender Equality;Ending Human Trafficking;Ending Abuse,Philippines,0.00,80025.00,0,1,80025.00
15160,false,funded,"The project will help build a safer home for abused and exploited girls in Manila needing center-based recovery and healing that is comprehensive, holistic and ladderized. It will also offer older girls recommended for independent living with comprehensive social preparation;  a walk-in clinic for crisis intervention and counselling to those not needing residential care; as well as promote a sustained advocacy for the personal safety of children against all forms of abuse and violence.",Help Build our Home for Abused Girls in Manila,Child Protection,Child Protection;Ending Abuse,Philippines,38200.67,8049.00,111,1,0.00
15234,false,retired,"Aral Pinoy (Education Philippines) project will keep in school these 100 needy children from economically disadvantaged families in CWI Community, Dona Soledad Ave, Paranaque by providing them free meals, school supplies and transportation allowance for four months.",Save 100 Filipino Needy Children Stay In School,Education,Education,Philippines,862.00,6000.00,1,0,5138.00
15254,false,retired,"We will construct low-cost sanitary and robust water-sealed toilets for the six barrios affected by the fighting between the Moro National Liberation Front and government forces. We will install toilets in barrio centers so that residents who have lost their homes will have access to toilet facilities. This is important in terms of improving sanitation in the area as the problem now will result to open defecation and the spread of water-borne diseases. A total of 16,300 families were affected.",Zamboanga City Low-Cost Sanitation Initiative,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,170.00,5000.00,4,1,4830.00
15262,true,active,"The Philippines leads the world in natural disasters. Between September and November 2020, a series of typhoons delivered destruction, displacing thousands of families across the island nation. Asia America Initiative and local partners are conducting emergency and long-term relief including food and water to thousands of affected families. We apply lessons learned from two decades of relief programs. We provide shelter materials, hygiene supplies, medicines, and ongoing post-trauma services.",Food and Shelter for Philippine Typhoon Survivors,Disaster Response,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Disaster Response;Physical Health;Food Security;Clean Water;Safe Housing,United States,79893.26,100000.00,674,35,20106.74
15298,false,funded,"Sherwin is 8. He lives with his four sisters and his parents in a house made from sheets of tin and plywood perched on a riverbank. Every year there are floods, and Sherwin's house has been destroyed several times in his short life. Sherwin and his neighbors live in constant fear of the floods, and they often have to evacuate. Evacuation is frightening and stressful, but you can make it easier by giving the funds we need to stockpile food and drinking water for Sherwin and evacuees like him.",Feed Sherwin During Floods,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response;Economic Growth,United Arab Emirates,70.00,250.00,3,1,180.00
15356,false,funded,"Pauline is 18 months old. She lives with her four siblings and her parents in a house made from a few sheets of tin and plywood perched on a riverbank. Every year there are floods, and Pauline's house has already been destroyed once in her short life. During floods Pauline and her family have to spend days sleeping on the floor of an evacuation centre. With your help, we'll be there to provide hot meals and emergency supplies during those floods.",Hot meals for evacuees like Pauline,Disaster Response,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Disaster Response;Climate Action;Economic Growth,United Kingdom,350.00,350.00,8,1,0.00
15376,false,retired,The proposed project aims at setting-up a socially responsible franchise dedicated at training and rehabilitating marginalized youth in the Philippines. This program will be composed of an cooking training center and an in-house restaurant emphasizing on a on-field learning and practicing. The project's innovation is based on the development of a social franchise which provides our trainees an opportunity to run their own business and sustain their living to be autosufficient.,French Cuisine Helps Me To Stay Out Of The Street,Economic Growth,Economic Growth;Education,Philippines,25.00,32000.00,1,2,31975.00
15412,false,retired,"Typhoon Haiyan has struck leaving serious damages behind. To support the reconstruction Kito Onlus decided to open an Emergency Fund for Filipinos affected by the typhoon. 
Kito Onlus' campaign is aimed to sending medical aid and one Mobile Unit (Kito Health) for emergencies to San Francisco, granting a long-lasting medical assistance to the population during the reconstruction phase. We also want to offer local population training in disaster prevention and best practice in emergency.",Emergency in the Philippines: Medical Assistance,Physical Health,Child Protection;Disaster Response;Economic Growth;Education;Gender Equality;Physical Health;Food Security;COVID-19;Clean Water;Safe Housing;Physical Health;Disaster Response;Clean Water,Italy,430.00,68100.00,7,0,67670.00
15519,false,funded,"The impact of Super Typhoon Yolanda / Haiyan is so immense.  As described by the National Disaster Risk Reduction Management Council (NDRRMC), Typhoon Yolanda is the most violent and worst typhoon that ever hit in the Philippines for the last decade or so.  Yolanda is already out of the Philippine area of responsibility but it is leaving huge destructions to properties, communication facilities, and economic condition of the areas affected.",Food for Victims of Super Typhoon Yolanda,Disaster Response,Disaster Response,Philippines,55063.75,55000.00,1408,11,0.00
15537,false,funded,"Super Typhoon Haiyan is the most powerful storm ever to make landfall.  It has hit the Philippines with winds of nearly 200 MPH. Fuel Relief Fund is a non-profit charitable organization that provides free fuel immediately after a major disaster.  Primarily, the gas and diesel will be given to individuals, other non-profit agencies, clinics, medical groups, etc. for use in generators and vehicles.  100% of funds raised for the relief effort is used to purchase fuel.",Super Typhoon Haiyan Fuel Relief Fund,Disaster Response,Disaster Response;Ending Human Trafficking;Disaster Response;Physical Health,United States,8484.40,95000.00,186,4,86515.60
15540,false,retired,"Since the typhoon hit, Architecture for Humanity has been in close communication with our local architects and our Manila Chapter, as well partners within our network to assess the situation. At the moment, the affected areas are still in the 'relief phase' with survivors requiring immediate needs of food, water and shelter. Once this initial response needs have been met, long-term reconstruction will officially begin, but it is imperative to begin the planning process now.",Super Typhoon Haiyan Rebuilding and Support,Disaster Response,Disaster Response,United States,13162.89,95000.00,236,4,81837.11
15541,false,funded,"Many third and fourth year students at Visayas State University near Tacloban in the Philippines had their family homes and resources destroyed in Typhoon Haiyan. They did not know how they could finish school and learn the professional skills needed to help rebuild their communities. Asia America Initiative made a commitment to assist 20 juniors and 20 seniors finish their education, with employment opportunities. Our partners in the region assist with employment opportunities.",Support 40 Typhoon Survivors Finish College,Education,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Education;Disaster Response;Economic Growth,United States,3675.00,24000.00,41,8,20325.00
15549,false,funded,"IsraAID's medical team arrived in Tacloban four days after the Typhoon. Since then, the project has expanded to include psycho-social training, and the rebuilding of key medical and educational facilities. Today, IsraAID is based in Ormoc, and is partnering with the municipality to rehabilitate its 200,000 citizens over the next year.",Aid to the Philippines after Typhoon Yolanda,Disaster Response,Disaster Response;Education;Gender Equality;Justice and Human Rights;Food Security;COVID-19;Clean Water;Mental Health;Refugee Rights;Reproductive Health;Sustainable Agriculture;Disaster Response;Education;Physical Health;Mental Health,Israel,40398.62,1000000.00,382,22,959601.38
15557,false,funded,"International Medical Corps is on the ground in the Philippines following Super Typhoon Haiyan, which affected 9.5 million people (including nearly 620,000 people fled their homes) and caused widespread devastation. Authorities estimate the death toll from the typhoon could exceed 10,000 in hardest-hit Tacloban alone, and reports from neighboring islands indicate the death toll may rise by hundreds, if not thousands.  We are working with local partners to provide critical humanitarian services.",Emergency Relief for Super Typhoon Haiyan Victims,Disaster Response,Child Protection;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Food Security;Disaster Response;Physical Health;Clean Water;Mental Health,United States,30854.60,35000.00,463,13,4145.40
15558,false,funded,"Families in the Philippines are in urgent need after Super Typhoon Haiyan devastated towns and villages, causing heavy damage from wind and water. Over 15 million people have been impacted and more than 4 million have been displaced from their homes. The damage is widespread and extensive. Officials estimate that the storm destroyed 70 to 80 percent of the area in its path.   Your gift will provide lifesaving assistance and support long-term recovery efforts to help families thrive.",Help Typhoon Haiyan survivors in the Philippines,Disaster Response,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Disaster Response;Physical Health;Food Security;Clean Water,United States,23629.00,25000.00,260,9,1371.00
15562,false,funded,"Typhoon Haiyan is the strongest typhoon ever to make landfall anywhere in the world. Tens of thousands of schools and daycare centers were either damaged or converted to evacuation centers in the aftermath of the storm, disrupting the education and care of over 5 million children. To ensure children return to protective and quality learning environments and regain a sense of normalcy, UNICEF is mobilizing education support and supplies to the hardest-hit areas of the Philippines.",Bring Education to the Children of the Philippines,Disaster Response,Child Protection;Disaster Response;Education;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Digital Literacy;Disaster Response;Child Protection;Education;Child Protection;Education,United States,6953.73,10000.00,116,3,3046.27
15565,false,funded,"Typhoon Haiyan, one of the most powerful typhoons on record, hit Central Philippines on November 8 and left cities and towns in ruins. Asia Pacific Alliance for Disaster Management (APADM) member from Japan, Civic Force, will utilize its experience in responding to the 2011 Japan Earthquake and work with Philippine-based member Citizen's Disaster Response Center (CDRC) to deliver relief goods in Leyte. Relief goods will contain food, hygiene kits, sleeping mats and blankets, medicine, and tents",Provide Emergency Relief Packs for Haiyan victims,Disaster Response,Disaster Response;Disaster Response,Japan,16227.50,25000.00,216,7,8772.50
15566,true,unsearchable,"November 8, 2013 - Super Typhoon Haiyan, locally called Yolanda, swept through the central Philippines today. This storm brought 195 mph wind that shut down electricity and services among the islands. The HOPE worldwide team is waiting for a complete report from the islands across the Visayas Region. HOPE worldwide's relief team is currently moving supplies of water, hygiene kits, and emergency shelters for the disaster victims, as well as working to bring in medical supplies.",Disaster Relief  and Rehabilitation - Philippines,Disaster Response,Child Protection;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Digital Literacy;Disaster Response,India,4935.39,650000.00,105,0,645064.61
15577,false,funded,"Save the Children will distribute emergency kits for children and families who have survived Typhoon Haiyan, including household and hygiene supplies, clean drinking water, cleaning items, temporary school tents and education materials. We will partner with local governments and other relief agencies to assess needs and provide assistance, with a special focus on affected children.",Typhoon Haiyan Children's Relief Fund,Disaster Response,Child Protection;Disaster Response;Economic Growth;Education;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Food Security;Disaster Response,United States,71401.16,60000.00,515,2,0.00
15578,false,funded,"Nearly 10 million people are affected by what's being called the strongest typhoon or hurricane in recorded history. Entire communities have been wiped out. We need your support to reach survivors with emergency food, supplies, clean water, and psychological support for traumatized children. You'll help World Concern and our partners meet critical needs and coordinate efforts to reach devastated families.",Rescue Families Affected by Super Typhoon Haiyan,Disaster Response,Disaster Response,United States,5168.50,5000.00,45,2,0.00
15580,false,funded,"We will provide low-cost pour-flush toilets for Typhoon Haiyan survivors in Tacloban City. The City is totally wiped-out with 95% of the structures flattened to the ground. Safe sanitation is one of the urgent needs but this will be overlooked by international aid since the concentration of the support will be on food, shelter, medicines, communications and to bury the dead. We are experts in sanitation work having supported Typhoon Washi survivors in Cagayan de Oro and Iligan Cities in 2011.",Low-cost Sanitation For Typhoon Haiyan Survivors,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,74630.66,95000.00,611,34,20369.34
15592,false,funded,"On November 8th, 2013 Typhoon Haiyan devastated the Philippines, and took with it much of the infrastructure. Do Your Part Volunteer's along with the Filipino people have moved into the rebuilding and repair stage, while still supplying food to the villages; as they anticipate the growing crops from the new gardens that were established.",Provide Support to Rebuild Philippines from Haiyan,Disaster Response,Disaster Response;Physical Health,United States,2394.37,10000.00,19,5,7605.63
15596,false,funded,Help Doctors Without Borders/Medecins Sans Frontieres (MSF) with their emergency programs to assist survivors of one of the worst disasters the Philippines has ever seen.,Responding to Medical Needs after Typhoon Haiyan,Disaster Response,Disaster Response,United States,79356.50,75000.00,705,5,0.00
15603,false,retired,"The Love for Life Foundation of Philippine American Physicians in America (LFLF)  is working with our partners, the Kapampangan Development Foundation and the staff at the Dr. Jesus A. Datu Medical Center (see project #2268) to mobilize a group of medical professionals to go to the island of Leyte, one of the areas hardest hit by Yolanda.
We are shipping clothing, food, and potable water to the area. 
LFLF is also organizing the Filipino groups in New England to work together as one",Medical relief and supplies for Yolanda Survivors,Disaster Response,Disaster Response,United States,5511.71,20000.00,131,13,14488.29
15606,false,funded,"Typhoon Haiyan killed an estimated 10,000 people, displaced 2 million more while destroying 90% of infrastructure. Emergency radio stations have been created, however, with no electricity supply in the worst hit areas, people need solar radios to listen to critical updates. Restoring the communication networks must be a humanitarian priority as people are left in the dark in most areas. Donations will support the distribution of 3000 solar radios/lights with mobile chargers & emergency siren.",Solar radios/lights for Philippines Typhoon Haiyan,Disaster Response,Child Protection;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Justice and Human Rights;Digital Literacy;Disaster Response,South Africa,1217.03,60000.00,24,3,58782.97
15609,false,retired,"Shoes. Teddy Bears. Old Shirts. Well-intentioned supporters are sending countless goods to victims of Typhoon Haiyan, but what is really needed? Unused products compete on rescue docks with essential supplies like diapers, cleaning supplies, and medicine. With 580,000 people displaced in the Philippines, sending the right goods at the right time is absolutely critical. Good360 will partner with major US donors to direct a rescue package for long term sustainable recovery to struggling victims.",Urgent: A Rescue Package for Super Typhoon Victims,Disaster Response,Child Protection;Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Sport;Digital Literacy;Arts and Culture;LGBTQIA+ Equality;COVID-19;Clean Water;Mental Health;Racial Justice;Safe Housing;Disaster Response,United States,1147.00,4200.00,23,0,3053.00
15610,false,funded,"Millions of Filipinos are struggling to recover in the wake of Typhoon Haiyan, one of the worst natural disasters to hit their country in years. Oxfam is racing to help meet the needs of 500,000 people.",Urgent: Oxfam's typhoon relief in the Philippines,Disaster Response,Disaster Response;Economic Growth;Physical Health;Ending Human Trafficking;Food Security;Disaster Response,United States,11241.97,10000.00,108,1,0.00
15611,false,funded,"2.5 million survivors are in need of immediate food assistance; the risk to malnutrition is extremely high with all water/sanitation/health facilities damaged. There is an urgent need to provide temporary shelter for those displaced and to get food, essential non-food items and clean water to people in the affected areas. CARE and our partners will be focusing on short-term shelter and food insecurity. We aim to reach 150,000 people in 30,000 households as part of our initial relief efforts.",CARE Philippines Typhoon Haiyan Relief Fund,Disaster Response,Child Protection;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Disaster Response,United States,18152.00,50000.00,120,3,31848.00
15613,false,funded,"Beyond the immediate needs, Typhoon Haiyan severely traumatized tens of thousands of children who will, in the coming months, find themselves in evacuation centers throughout Central Philippines. Our books can help them. We want to give away at least 10,000 books to 10,000 child survivors of Haiyan this Christmas, and bring in a team of professionals who will use the books to help them with the trauma of their experience. This will help them move on with a sense of normalcy and hope.",Helping Kids Deal With Trauma from Typhoon Haiyan,Arts and Culture,Child Protection;Education;Justice and Human Rights;Arts and Culture;Arts and Culture;Disaster Response;Education,Philippines,12258.00,10000.00,145,3,0.00
15615,false,funded,"After typhoon Haiyan there was no more food, drinkable water or houses. But slowly, after a few days, people were able to get organized to provide sufficient foods and care to the victims. But now what victims lack the most is a new house or place where they can recover and start their lives again. By helping them to set up local housing manufacturing to build innovative houses which will bring hope and joy back to the community to survive that calamity and the coming ones.",Typhoon-proof disaster relief housing manufacturin,Disaster Response,Disaster Response;Economic Growth;Digital Literacy;Safe Housing,France,482.76,20000.00,11,2,19517.24
15616,false,retired,"The project advocates the rights of persons with disabilities in the Philippines. Teaching this marginalized group to stand together to gain access to available resources (e.g. education, training & employment) in their communities. The rights based approach understands it is a human right to achieve economic, social and cultural development. Mentoring, education, training, facilitation and lobbying are key to advocate equal rights and building adequate support in the community.",Action & Advocacy for Rights of Disabled Persons,Justice and Human Rights,Justice and Human Rights;Disability Rights,Philippines,1640.00,7000.00,9,0,5360.00
15625,false,retired,RedR received a number of requests to respond on-the-ground to the disaster in the Philippines. Aid workers that have arrived this week in the Philippines have contacted RedR directly to stress the need to build the capacity of the humanitarian response by training aid workers - particularly Philippine nationals. RedR is ready to respond and intends to send out a training team as soon as possible. But we need your support to do so.,Haiyan Response: Training Filipino Aid Workers,Disaster Response,Disaster Response;Justice and Human Rights;Clean Water,United Kingdom,1013.19,50000.00,19,2,48986.81
15631,false,retired,"Super Typhoon Haiyan - one of the most powerful storms on record - raged through the Philippines on Friday, November 8th. Typhoon Haiyan leveled entire towns and its waters swept away whole homes and their inhabitants. The catastrophic damage and widespread devastation caused by Typhoon Haiyan has affected millions of people--at least 600,000 people are now displaced. RI is providing emergency needs and primary medical care to Typhoon Haiyan survivors.",Emergency Needs for Typhoon Haiyan Survivors,Disaster Response,Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Digital Literacy;Food Security;Disaster Response;Physical Health;Clean Water,United States,3142.30,50000.00,56,4,46857.70
15644,false,funded,"Typhoon Haiyan, reported by media outlets as possibly the strongest tropical cyclone in recorded history, made landfall Friday morning local time in Samar, central Philippines. Over 11 million people have been affected. World Vision is launching an emergency response to help affected vulnerable children and families. The first distribution on November 14 supplied 4,000 survivors with emergency water, food and hygiene kits. World Vision's 12 month response plan seeks to benefit 400,000 people.",World Vision Philippines Typhoon Haiyan Response,Disaster Response,Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Digital Literacy;Food Security;Disaster Response,United States,40339.33,90000.00,277,7,49660.67
15646,false,funded,"Typhoon Haiyan was one of the strongest storms ever to make landfall. It tore through the Philippines in November 2013, killing over 6,000 people and affecting 14 million in total. We're working with survivors to help communities rebuild and to take charge of their own recovery.  But so much remains to be done, and that's why we need donors like you!",Help Families Recover from Typhoon Haiyan,Disaster Response,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Disaster Response;Climate Action,United Kingdom,13192.80,15000.00,71,19,1807.20
15650,false,retired,"Provide prefabricated SHELTERS & multipurpose metal buildings made in USA, for the Typhoon Haiyan survivors in the Philippines.

The buildings can be used as health centers to provide first aid treatment, schools, cafeterias, operations centers and warehouses or storage.

The building includes lifetime engineering warranty, blueprints, commercial 80 grade steel with Energy Star, hardware with plus coating hex, self locking nuts, polyethylene washers, salt spray tested bolts.",SHELTERS 4 Typhoon Haiyan survivors in Philippines,Disaster Response,Disaster Response;Safe Housing,United States,25.00,99999.00,1,0,99974.00
15651,false,funded,"The project will provide vegetable seed packets, garden tools and materials so that the survivors can start backyard gardening and ensure food security. International food aid will be gone in a short while and will never be enough. Meanwhile gardening is easy to do, will provide relaxation and value for the depressed survivors and best of all will provide food and nutrients on a daily basis. The survivors do not have to wait for long since some vegetables mature in 22 days.",Typhoon Haiyan Survivors' Food Security Project,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,29250.04,80000.00,166,29,50749.96
15658,false,funded,"In the first stage of disaster relief, IsraAID has sent medical professionals to do a need analysis and provide medical support. In the second stage, IsraAID will send teams of psychosocial experts that will support the mental rehabilitation of women and children in the areas affected by Typhoon Yolanda. In addition, IsraAID will send trauma care experts to provide PTSD prevention training and psychosocial tools for government workers and local social workers to help victims.",Psychosocial support for Typhoon Yolanda victims,Disaster Response,Disaster Response;Education;Gender Equality;Justice and Human Rights;Food Security;COVID-19;Clean Water;Mental Health;Refugee Rights;Reproductive Health;Sustainable Agriculture;Disaster Response;Gender Equality;Physical Health;Mental Health,Israel,1226.00,99999.00,14,9,98773.00
15695,false,funded,"The project will specifically target yolanda/haiyan affected sites in the Visayas. It will continue distribution of relief items to local residents, provide psycho-social first aid training to locally based counsellors and teachers and rehabilitate selected schools.",Yolanda (Haiyan) Relief and Rehabilitation Efforts,Disaster Response,Peace and Reconciliation;Education;Digital Literacy;Arts and Culture;Disaster Response,Philippines,52640.00,50000.00,11,2,0.00
15746,false,funded,"Mae is 2 years old. She lives with her 2 siblings and her parents in a house made from a few sheets of tin and plywood perched on a riverbank. Every year there are floods, and Mae's house has been destroyed several times in her short life. During floods Mae and her family have to spend days sleeping on the floor of an evacuation center. With your help, we'll be there to provide hot meals and emergency supplies during those floods.",Hot meals for evacuees like Mae,Disaster Response,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Disaster Response;Climate Action;Economic Growth,United Kingdom,384.00,350.00,10,1,0.00
15765,false,funded,"The project will provide emergency food packs comprising rice, dried fish, noodles, mongo, powdered milk, sugar, salt and canned sardines to still unreached survivors living in remote and hard tp reach areas. This is a situation of urgent concern as some survivors have very little to eat for days subsisting on coconuts, grasses and leaves.",Emergency Food Packs for Typhoon Haiyan Survivors,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,13664.24,50000.00,148,9,36335.76
15806,false,retired,"We must come together, now, to get farmers & fishermen back on their feet - to rise above the loss and recover, to rehabilitate farmlands and fishing industry -  taking strategic steps to guarantee food security through livelihood development. 
Through the generosity of the GlobalGiving Community, PBSP proposes to provide in kind material assistance & community projects to address immediate relief needs & long-term recovery challenges of  Farming & Fishing Communities in Haiyan-hit Philippines.",Adopt 10000 Haiyan-hit Farmer-Fisher-Families,Disaster Response,Child Protection;Disaster Response;Education;Ecosystem Restoration;Physical Health;Disaster Response;Economic Growth,Philippines,2255.00,50000.00,29,9,47745.00
15840,false,funded,"The campaign will be spearheaded by 2 former CNN heroes; Evans Wadongo who was recognized for his efforts in 'Saving lives' with solar-powered lights in Kenya and Malawi and Effren Penaflorida,  a Philippine native, recognized for his outreach teaching project. Together, they will help light up Tacloban city and other parts, by distributing 1000 solar lanterns to 1000 families and aid workers. This will be done by acquiring materials and training local youth in assembling the solar lamps",1000 Solar Lamps to Typhoon affected families,Disaster Response,Disaster Response,Kenya,125.00,25000.00,4,1,24875.00
15860,false,funded,"This project work towards the rehabilitation efforts on food production, water supply and energy for lighting and battery charging in the affected areas of Typhoon Haiyan. Initially, this project will implement on 5 disaster areas in the Visayas with 150 households each community as partners and beneficiaries.","Food, Water & Energy for Haiyan Affected Areas",Disaster Response,Child Protection;Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Digital Literacy;Food Security;Disaster Response;Climate Action;Physical Health;Food Security;Climate Action;Physical Health;Food Security;Clean Water,Philippines,1575.65,161625.00,29,10,160049.35
15869,false,funded,"Mercy In Action went into the disaster zone in the Philippines in November 2013 to provide emergency care to the pregnant women and infants who survived the typhoon Haiyan/Yolanda destruction and were left without any maternity services.  Mercy In Action is now providing support to the local midwives to rebuild their own clinics and birthing centers. We rebuilt one birth center on Leyte island already, and funds are now going toward building materials for a second birth center on Samar island.",Philippine Disaster Recovery -Rebuild Birth Center,Disaster Response,Child Protection;Gender Equality;Physical Health;Disaster Response;Physical Health;Reproductive Health,United States,29034.28,29000.00,160,25,0.00
15872,false,funded,"This project has re-opened the only school for children with development disabilities like autism in Tacloban. The school was founded by the mother of an autistic child when she realised that the government wasn't giving their kids the support they needed. The school was thriving before Typhoon Haiyan's, but it was damaged by the storm and now needs extra support. Your donations will pay teacher salaries, fund books, classes, and psycho-social support for children affected by the storm.",School for 30 Disabled Kids Affected by Haiyan,Disaster Response,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Disaster Response;Education,United Kingdom,8275.53,10000.00,35,8,1724.47
15894,false,funded,"Erica is 5 months old. She lives with her siblings and her dad in a house made from a few sheets of tin and plywood perched on a riverbank.  Erica's mum has to work away so she is often not at home. Every year there are floods, and Erica's house has already been destroyed once in her short life. During floods Erica and her family have to spend days sleeping on the floor of an evacuation centre. With your help, we'll be there to provide hot meals and emergency supplies during those floods..",Hot meals for evacuees like Erica,Disaster Response,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Disaster Response;Climate Action,United Kingdom,440.00,384.00,15,1,0.00
